Control,Plate_ID,Compound/Gene Accession,BNIP3L ,NDRG1,ALDOC,LOXL2,BNIP3,ACSL5,PPIB,BNIP3L ,NDRG1,ALDOC,LOXL2,BNIP3,ACSL5,PPIB,BNIP3L ,NDRG1,ALDOC,LOXL2,BNIP3,ACSL5,PPIB
FALSE,1,ABCG5,0.252655843407009,0.248730584317310,0.041215220441848,0.081776231035412,0.417385883204743,0.318861880053279,1564,0.165682729601731,0.221022102849272,0.048631570429658,0.059364054938272,0.422759272597128,0.250368740177514,1468,0.105428493760984,0.182802097946712,0.011578208396138,0.029502165624774,0.333764122804045,0.255388558276344,1908
FALSE,1,DATF1,0.143432367299624,0.339574067694718,0.022268381122838,0.042137475390689,0.411252762487420,0.480307237282482,3495,0.113969429208626,0.162914075943948,0.013850043920307,0.028169580854861,0.202351489140754,0.335863565067440,3843,0.090486071695646,0.095877084216468,0.008625620033315,0.019739399691626,0.268804178153611,0.313425174095185,2622
FALSE,1,ABCG8,0.173950812792379,0.066849985358392,0.015845721813071,0.020829675340601,0.188306765887982,0.292726009630527,5847,0.120465494849858,0.044152755032024,0.014090160558332,0.019683201390646,0.150312972368461,0.215358961663507,6150,0.128055573293973,0.037413827137095,0.008706015740296,0.012618212686885,0.218256508527293,0.164587778583949,3073
FALSE,1,DACH2,0.129976266362227,0.107136167739296,0.013506404474137,0.027488644336253,0.342747890232582,0.195934371680373,6760,0.143262818460293,0.070576504866187,0.009255935064418,0.026746930002326,0.313340625268973,0.207611984661816,6741.5,0.129546593131989,0.056462982811850,0.008251375358725,0.027818922637989,0.258916371077719,0.177640323794274,3874.5
FALSE,1,ABTB1,0.152889819586739,0.048110959790002,0.025932767799693,0.029425396459584,0.210954771057431,0.252080473527651,2192,0.143367764557099,0.027942084724904,0.015946006466045,0.025893973802660,0.220610805053169,0.286954969570154,2810,0.132141053283530,0.041686762469823,0.025630377882164,0.016555030071748,0.267573166762046,0.231471233714017,1974.5
FALSE,1,DACH1,0.083798367104617,0.156669823096546,0.019531377703166,0.026536784130812,0.294836235737461,0.242866780445411,4277,0.124205478013484,0.118655596938410,0.020220496940193,0.016391509221731,0.284635761183654,0.227243967740638,3825,0.091677431353311,0.135580857465813,0.013215263023789,0.023610532682668,0.230962985984789,0.259715859509350,3528
FALSE,1,ACYP2,0.119769636737913,0.067399735981407,0.007708653616028,0.019720285837828,0.310263111413351,0.168264817422871,13364,0.098614676735060,0.047640111818412,0.005622455490110,0.014898620226160,0.335715575762810,0.126726954185613,14096,0.099371830383074,0.032208586552365,0.005902768850234,0.015809154833671,0.286669252422246,0.097908970276712,8595
FALSE,1,ADD2,0.112510458358573,0.061082261675023,0.028420845535646,0.025533648528850,0.295937693196567,0.127307343018401,2266,0.110501716943861,0.038926741196133,0.029634551362217,0.035410777475192,0.491732640400183,0.114017680664802,1661,0.110521592022739,0.013883704121865,0.015710507295794,0.013883704121865,0.404636903025400,0.129703025349000,1051
FALSE,1,LIN7A,0.072166626358004,0.094186093459137,0.006157986562181,0.020986915818989,0.222297094706288,0.076893969577456,17556,0.085855485972761,0.110514307517724,0.006108406706914,0.024743269563953,0.247911234413805,0.093723226408625,20291.5,0.139527884328953,0.114944256660901,0.012336949013343,0.021514435474488,0.276799009692050,0.091774864611453,8222
FALSE,1,LIMD1,0.053564573842734,0.069982438403688,0.003949580625512,0.014739938151422,0.220815115494336,0.091253382426055,6064,0.055412896649351,0.060488887182116,0.000604284587234,0.013958973965104,0.232528709167613,0.077197356019134,6027,0.082109237309302,0.046035509888487,0.002052730932733,0.007456243240955,0.196730110126735,0.070336221665689,6204
FALSE,1,DNAH11,0.079864221590809,0.149269208610748,0.009350971305082,0.017136520747239,0.287566610890201,0.235242731454210,14414.5,0.071001928300242,0.149312878631390,0.008046066269318,0.009581575099341,0.257197729028773,0.236575845441570,13475,0.048841853104515,0.075099950278136,0.005153039547724,0.011784777400447,0.218197618066456,0.181857486995115,7442
