Gene Symbol,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6
LAG3,0.2700066,0.3094467,0.0247125,0.0340316,0.4556413,0.2829037,,0.2484263,0.1774744,0.0206234,0.0181637,0.5186111,0.2297896,,0.1857275,0.1722077,0.0087878,0.0201106,0.553718,0.2181749
DRPLA,0.0745648,0.1070786,0.0179476,0.026878,0.3343279,0.2448501,,0.1122056,0.0712563,0.0012724,0.0086757,0.3009886,0.1737452,,0.0888533,0.0454288,0.0064302,0.0123593,0.295454,0.2133649
DSC1,0.1287814,0.0801893,0.0240967,0.0197293,0.173025,0.117711,,0.0804928,0.058867,0.014823,0.0190168,0.2120449,0.1340838,,0.09442,0.0379537,0.0082461,0.0146081,0.1526339,0.0980243
DAAM2,0.0695885,0.0918265,0.0155213,0.0042056,0.2432874,0.1499783,,0.049263,0.0876205,0.0048887,-0.0006447,0.1583722,0.1696807,,0.0929171,0.0426623,0.0061463,0.0003615,0.2050866,0.1959575
D1S155E,0.0942557,0.0827294,0.0122428,0.0149011,0.4476029,0.0639967,,0.1086181,0.0612489,0.0075893,0.013676,0.3171191,0.0740208,,0.0890429,0.060778,0.0095356,0.017927,0.348622,0.0734965
NCKIPSD,0.0644861,0.152736,0.0133363,0.019977,0.1987819,0.1732618,,0.0697991,0.1568771,0.0124308,0.0231213,0.2277328,0.1638384,,0.067725,0.14305,0.0188313,0.013849,0.2766843,0.158419
CYR61,0.0546854,0.8440299,0.0237713,0.012701,0.6231063,0.1279056,,0.0634785,0.5776224,0.0205934,0.0132158,0.6112193,0.1485322,,0.058433,0.2895049,0.0206989,0.0097544,0.4143985,0.1337612
AGC1,0.1327967,0.2005362,0.0064174,0.017249,0.3258968,0.2789375,,0.1497534,0.2366579,0.0134119,0.022925,0.3821616,0.2483934,,0.0995445,0.1228697,0.0134209,0.0149999,0.2894112,0.1472355
CYBA,0.0589737,0.8924059,0.0199102,0.0442448,0.408915,0.470916,,0.0574594,0.6461277,0.0200061,0.0378604,0.3743004,0.489859,,0.0452698,0.2209167,0.0124286,0.0201656,0.3156129,0.3899788
AIF1,0.1084594,0.2012369,0.0260197,0.0295241,0.3283569,0.3167926,,0.1161406,0.2312215,0.023101,0.0222532,0.3825434,0.2163861,,0.1396369,0.1201938,0.0110472,0.0128148,0.393944,0.2622611
CUGBP2,0.1555366,0.2505841,0.031585,0.0409923,0.3265733,0.2319646,,0.1691277,0.1960456,0.0189285,0.0438798,0.28823,0.2073535,,0.1046659,0.0962926,0.0235974,0.027784,0.2655658,0.223414
AIM2,0.2397259,0.0701885,0.0145906,0.0186019,0.2976933,0.081703,,0.1521574,0.0717264,0.017285,0.0164145,0.3185407,0.064887,,0.1756687,0.0622405,0.0145409,0.0155778,0.2829694,0.0663648
CTNNBIP1,0.1196264,0.2600027,0.0094182,0.0278361,0.3173791,0.1837301,,0.11147,0.2428625,0.0058219,0.0296434,0.2394174,0.1985042,,0.0963116,0.1323084,0.0042349,0.0177692,0.2731084,0.1412366
AKAP2,0.092379,0.0862795,0.0095385,0.0123504,0.1639938,0.2135034,,0.0652044,0.0936524,0.0116845,0.017791,0.2682158,0.2398852,,0.093731,0.0659294,0.0127093,0.0087376,0.3578458,0.3213066
CTGF,0.1537922,0.2155521,0.019276,0.0199792,0.3243671,0.2286585,,0.1129423,0.2018067,0.0153952,0.0202374,0.3805374,0.2307937,,0.193509,0.2047595,0.0281263,0.022501,0.3347031,0.2880134
PDLIM3,0.147853,0.2252209,0.0196034,0.0223043,0.4206447,0.2389869,,0.1534247,0.2090806,0.0202216,0.0303325,0.4250254,0.2152955,,0.128796,0.107042,0.0081675,0.0102094,0.4255765,0.2169113
CSTF3,0.1844415,0.0812548,0.0151302,0.0232074,0.4637221,0.1590893,,0.1483074,0.1153229,0.0110702,0.0175389,0.4138236,0.1269401,,0.1565906,0.0699922,0.0107559,0.0152157,0.3376575,0.11661
ALS2CR19,0.1389732,0.1517682,0.0123552,0.0184062,0.4245699,0.1942985,,0.0759437,0.0969327,0.0134284,0.0153693,0.2936191,0.1362812,,0.0734671,0.0523348,0.0110072,0.0106581,0.2768708,0.1089695
CSPG2,0.138485,0.1087366,0.019241,0.0232211,0.2932089,0.1897034,,0.1471252,0.1108354,0.0177401,0.0260898,0.3141416,0.1998136,,0.119834,0.0415412,0.0131716,0.0193659,0.2483032,0.148572
ANKRD1,0.089768,0.2665513,0.0399406,0.0295482,0.3217715,0.1727949,,0.075288,0.222324,0.042281,0.0176503,0.2935235,0.155213,,0.0630213,0.1014415,0.0406981,0.0078207,0.3130563,0.1454805
CRHBP,0.0896284,0.10376,0.0211974,0.015973,0.4025356,0.0850892,,0.0845831,0.1459491,0.0152596,0.0115149,0.354762,0.1115916,,0.0694269,0.0538357,0.0113724,0.0043105,0.356627,0.0742419
ANKRD5,0.0607019,0.0520747,0.007243,0.0136598,0.191452,0.1420384,,0.0502198,0.0552898,0.0086571,0.0128875,0.1703613,0.1059675,,0.0577295,0.0318434,0.0065814,0.0118012,0.2100105,0.1082392
ANXA10,0.1222112,0.098606,0.0238061,0.0293642,0.2791772,0.366667,,0.1081861,0.0806258,0.0229064,0.0242965,0.2766301,0.3040392,,0.0734852,0.0684049,0.0095166,0.0085148,0.244748,0.2037838
LAF4,0.1026863,0.0997352,0.0054263,0.0095515,0.402812,0.1652945,,0.082724,0.0684257,0.0027929,0.0110197,0.4396364,0.1513318,,0.0825729,0.046944,0.0009429,0.0087557,0.2873887,0.1320762
L1CAM,0.1512059,0.27996,0.0083594,0.0171352,0.1765404,0.2112271,,0.1176731,0.1336693,0.0033621,0.0083527,0.1799243,0.2470084,,0.1203133,0.0776945,0.0037716,0.007624,0.1835681,0.2135791
DSC2,0.1044912,0.1311107,0.011189,0.0220976,0.419525,0.1762566,,0.1259331,0.1292782,0.0121063,0.0103768,0.4345078,0.1269685,,0.1148675,0.1296033,0.010161,0.0139266,0.4088052,0.1267246
KPTN,0.1637876,0.1620279,0.0122381,0.0224231,0.4253198,0.2763832,,0.1318221,0.1059543,0.0093866,0.0160446,0.313879,0.2426061,,0.1294159,0.0800883,0.0210343,0.0106609,0.4347002,0.1998495
DSC3,0.051692,0.0676722,0.0276841,0.0070523,0.2670127,0.3475892,,0.0377761,0.0509351,0.0073404,0.0061767,0.205083,0.2513185,,0.0496239,0.1398966,0.0169659,0.0059641,0.3481782,0.3694291
KLF16,0.0805597,0.0165002,0.0087354,0.0317524,0.1964769,0.194397,,0.1102035,0.0122919,-0.0014835,0.0216168,0.1089319,0.1218597,,0.0676822,0.0135364,0.0016921,0.0070099,0.2133198,0.1271458
DSG1,0.0841697,0.0561532,0.0110477,0.0081113,0.195056,0.2020601,,0.0651386,0.0441527,0.008559,0.0013579,0.1887085,0.2277381,,0.0962538,0.0286361,0.0041382,0.0055451,0.2131158,0.2539181
KLF15,0.0933794,0.1298287,0.0093727,0.0325506,0.2695106,0.1554366,,0.0783163,0.1133785,0.005061,0.0234177,0.1768121,0.1389406,,0.0818535,0.1029359,0.0024008,0.0192067,0.3228376,0.1727852
DSG2,0.1398282,0.0687995,0.0152204,0.0170807,0.3966232,0.0471526,,0.2298139,0.0567486,0.0151681,0.009546,0.4137112,0.0456858,,0.2209517,0.0617395,0.0114163,0.0118045,0.4710152,0.0766264
KLF14,0.1665677,0.4481438,0.0205324,0.0254709,0.3001224,0.3487561,,0.2118597,0.4567307,0.0165712,0.0191932,0.2815531,0.3157181,,0.1340942,0.1774524,0.0146944,0.0111031,0.2755026,0.3685449
DSG3,0.0909935,0.0974681,0.0374194,0.0078393,0.2097898,0.2390207,,0.0888571,0.0887381,0.0250816,0.0026193,0.1611255,0.1760474,,0.1141088,0.0868902,0.0355936,0.0115156,0.1559836,0.2020459
CIB3,0.1637677,0.1209445,0.0314192,0.0205582,0.3305609,0.1897564,,0.11137,0.0578836,0.0109531,0.0124722,0.4483582,0.2107475,,0.1479894,0.036095,-0.0036095,-0.028876,0.4394562,0.25086
DTNA,0.0546366,0.0760232,0.019101,0.0183392,0.4204405,0.2295934,,0.073571,0.1034166,0.0112723,0.0062579,0.3007827,0.2035839,,0.0478566,0.0479497,0.0060985,0.0135935,0.2841134,0.1499474
CIB2,0.1315874,0.2825868,0.0255502,0.0369059,0.480927,0.2484431,,0.081231,0.1669111,0.0221017,0.020236,0.412111,0.1730106,,0.1415779,0.1695483,0.0078099,0.0118057,0.3981253,0.1674596
HNRPUL1,0.2525558,0.3354884,0.0309564,0.0432498,0.3224307,0.4103315,,0.2587195,0.7454165,0.0343945,0.028307,0.4294744,0.3985041,,0.1905073,0.3770718,0.0121414,0.0137686,0.3459047,0.3024085
KIN,0.1387019,0.0961695,0.0199884,0.0288721,0.3478653,0.2066686,,0.1344479,0.0934267,0.0143733,0.0350112,0.3483307,0.2008769,,0.1479821,0.0627739,0.0102166,0.0149035,0.3100252,0.1862153
EFEMP1,0.1179001,0.1835236,0.0146403,0.0157719,0.2546536,0.2008514,,0.1359475,0.2370153,0.0107355,0.0124996,0.3004871,0.176866,,0.0895953,0.1476163,0.0078261,0.0131222,0.2319661,0.1519342
KIFC2,0.2844974,0.2304499,0.0527106,0.0340582,0.674034,0.6180767,,0.2820953,0.2029756,0.0504794,0.0281113,0.7543196,0.6732352,,0.1381074,0.101809,0.0114246,0.0120031,0.4959574,0.3702146
EFS,0.0620111,0.0544702,0.0253973,0.0182358,0.271355,0.102182,,0.075006,0.0767284,0.0192159,0.0168181,0.2708458,0.0990512,,0.076904,0.0531261,0.0119235,0.0102431,0.2627072,0.0793209
EGR2,0.1250793,5.1530841,0.0273991,0.0792401,0.4769192,0.5999544,,0.1144306,5.0160327,0.0279273,0.048167,0.5158901,0.5118422,,0.1161137,1.0827036,0.0109569,0.0131384,0.3940529,0.3533487
CREBL1,0.1372829,0.0625733,0.0226966,0.0109543,0.3897038,0.2445401,,0.1577184,0.0835835,0.0198316,0.001246,0.4598648,0.3381756,,0.150502,0.0441937,0.0137453,0.0050457,0.3618138,0.2058311
CRADD,0.1802391,0.1162388,0.0270002,0.0143334,0.3001922,0.0924767,,0.1200831,0.0773455,0.0202128,0.006489,0.1836302,0.0670899,,0.1236599,0.0797954,0.0225044,0.0077049,0.2338172,0.0775449
ANXA11,0.0909537,0.0863219,0.0072588,0.0224907,0.3306777,0.1785199,,0.0490589,0.0761331,0.0071358,0.0215649,0.3183056,0.120391,,0.0590547,0.0696361,0.0150697,0.0177354,0.2700574,0.1138115
CORO2B,0.0838468,0.1114738,0.0125337,0.013826,0.3105708,0.1467665,,0.0942018,0.1426168,0.0102569,0.012189,0.2788692,0.1536693,,0.0922388,0.0844885,0.0160994,0.0144362,0.1975999,0.1427822
ANXA13,0.1099943,0.1994572,0.0127227,0.0238972,0.2771398,0.2906703,,0.1099722,0.1587425,0.0100661,0.0105694,0.257793,0.1539611,,0.0618942,0.1168135,0.0049318,0.0109204,0.2384531,0.1163203
CORO2A,0.1759069,0.3706325,0.0100473,0.0164265,0.4599415,0.7560967,,0.2317001,0.2711669,0.0075175,0.0136926,0.4386998,0.5604564,,0.1769681,0.1360004,0.0038074,0.0044166,0.3948276,0.4200326
APBB1,0.1950049,0.271287,0.0196821,0.0158272,0.3557607,0.3185092,,0.1510158,0.2880394,0.0158412,0.0149916,0.3863845,0.2671011,,0.1104648,0.078393,0.0161021,0.005338,0.4518734,0.2052246
CORO1C,0.0810548,1.2341301,0.0131904,0.017761,0.4467828,0.3158481,,0.0759995,1.5372858,0.0056453,0.0256486,0.2746295,0.2725085,,0.085659,0.5614548,0.0080552,0.0136191,0.3468297,0.2469704
APBB3,0.1181521,0.146807,0.022127,0.0240204,0.5138669,0.2570747,,0.0964614,0.1891223,0.0365877,0.0171988,0.5591861,0.2173682,,0.0545448,0.0554835,0.0100673,0.0094523,0.4102351,0.1132978
CNTN2,0.607426,0.6784281,0.0592801,0.0476697,0.5389915,0.1253702,,0.7531566,0.860729,0.105622,0.0369077,0.8440755,0.1186747,,0.4442683,0.5924915,0.04202,0.0130372,0.3900134,0.1488249
APC,0.183074,0.2171036,0.0280151,0.0391472,0.4028683,0.5103386,,0.2497529,0.3610844,0.0383843,0.0690408,0.5969951,0.5738966,,0.1825783,0.1131088,0.0373857,0.0299086,0.3831017,0.3705944
CNTN1,0.0943725,0.0880889,0.0152091,0.0146617,0.2948515,0.1612544,,0.0881964,0.0986243,0.0089234,0.0094163,0.2019697,0.1792721,,0.0630286,0.0391097,0.0070624,0.00553,0.1817236,0.1375836
APC2,0.1367589,0.128125,0.0034868,0.0061987,0.4704374,0.3869209,,0.2903975,0.24834,0.0115158,0.0206533,0.7943374,0.7253679,,0.1807518,0.0863963,0.0132651,0.0012688,0.4033752,0.3804208
CLTB,0.1869026,0.0249816,0.1285843,0.0281565,0.272542,0.1404485,,0.1846061,0.0598952,0.0291841,0.0101805,0.391779,0.2419562,,0.1049561,0.0281813,0.0480072,0.0090517,0.2671911,0.0787904
APCS,0.0943613,0.1011413,0.0167152,0.0172075,0.3549344,0.2675994,,0.0792098,0.0786201,0.0131296,0.0177485,0.3426657,0.2127853,,0.1435268,0.0608501,0.0046299,0.0013228,0.3574941,0.2288491
